6623,4752
2614,6160
2969,4270
6698,4126
6754,5790
2648,4062
3827,6064
6201,3475
4182,4681
6590,6563
5315,3156
6164,4441
6560,6992
9941,8065
5756,7209
2108,4288
4488,3817
4905,3675
2871,3053
8878,3403
5111,4073
3873,6347
6830,5049
7235,4942
1542,5563
5618,4178
3630,3523
5763,3425
3165,3728
6480,6220
6976,6600
7048,4554
7528,5310
2771,5119
2134,5996
4448,4741
2413,4218
6096,7652
6769,7372
2962,5763
3277,6147
2793,5454
5305,6667
4985,3962
7070,5526
7138,5752
7077,5986
1579,9205
7626,4496
2649,3221
3980,3646
3011,6554
4300,3635
3751,5049
6718,7648
1199,8724
3026,4602
7045,6969
5494,1672
7317,6107
3468,5621
2791,6907
3952,3919
5630,3777
4093,6039
6224,6575
7671,4121
7400,6525
4301,6562
5396,3421
5740,6565
5987,7123
3511,6067
5252,3620
4387,3077
3601,5176
5706,4583
6441,7460
5832,6385
4571,5802
5446,3799
9129,8792
4399,6214
6531,5605
8303,5693
777,6976
4406,4197
5253,7303
3113,3200
7692,4877
7919,4522
4375,5548
3763,3117
7577,6006
4953,3020
6435,4523
2916,6371
7748,5552
6504,4256
3089,3965
3606,6909
4573,3281
4091,6548
7958,6957
7631,6324
9344,8190
4765,3515
7009,5151
2490,5600
4624,1388
6789,5294
3443,4459
6086,5359
6988,4301
5578,2738
7083,3782
5030,4434
6755,6265
2810,3606
4746,4495
2563,4705
6320,5391
1507,7337
6833,3542
5160,3381
5920,6049
5729,5524
3964,4294
5730,3100
5289,2628
6316,5018
6416,5880
6168,3774
6256,5629
5704,6937
3400,4056
4284,4140
6041,2668
8173,6422
7279,824
3717,4059
4652,4081
8059,3797
2337,5200
3089,5158
6360,7836
2392,3485
4016,5612
7370,4279
2060,3832
7858,4972
6225,6854
2434,6392
4032,3252
3920,8304
2130,6694
6756,4531
7512,5860
6326,7159
